"time","precision","location"
"2024-12-20 22:05:20",4.5,"37.5587158,-3.6281774"
"2024-12-20 22:14:57",0.0,"0.0,0.0"
"2024-12-20 22:14:59",4.5,"37.5587158,-3.6281774"
"2024-12-20 22:22:59",4.5,"37.5587158,-3.6281774"
"2024-12-20 22:26:44",4.5,"37.5587158,-3.6281774"
"2024-12-20 22:37:45",11.8,"37.5542948,-3.6345949"
"2024-12-20 22:38:00",104.1,"37.554438,-3.634604"
"2024-12-20 22:39:30",104.1,"37.554438,-3.634604"
"2024-12-20 22:43:15",13.8,"37.5543414,-3.6347882"
"2024-12-20 22:43:16",13.8,"37.5543401,-3.6347896"
"2024-12-20 22:43:30",11.533,"37.5541601,-3.6346338"
"2024-12-20 22:43:45",9.8,"37.5530494,-3.6349773"
"2024-12-20 22:44:00",72.14,"37.5530998,-3.6348432"
"2024-12-20 22:44:15",29.739,"37.5532019,-3.6349598"
"2024-12-20 22:44:30",7.6,"37.553186,-3.6350169"
"2024-12-20 22:46:45",7.6,"37.553186,-3.6350169"
"2024-12-20 23:00:00",7.6,"37.553186,-3.6350169"
